id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price,price_per_m2,distance_km
312f2788e54076b94f950baaeced3e54,szczecin,blockOfFlats,91.0,4.0,2.0,4.0,1932.0,53.465463,14.5932507,5.14,7.0,0.183,0.23,0.329,1.119,0.343,1.027,0.182,condominium,brick,premium,no,no,no,no,yes,512000,5626.373626373626,5.0
23d558163bb1c7863c73485048e50858,szczecin,blockOfFlats,53.8,2.0,5.0,5.0,1995.0,53.42942948,14.55464244,0.79,60.0,0.147,0.437,0.328,0.198,0.009,0.465,0.073,cooperative,brick,premium,no,no,yes,no,no,400000,7434.9442379182165,1.0
cb5a5f936e4486afd41637860100b033,szczecin,tenement,130.0,4.0,1.0,3.0,1930.0,53.4293681170885,14.5523407680512,0.88,67.0,0.241,0.306,0.337,0.154,0.053,0.586,0.114,condominium,brick,low,no,yes,no,no,yes,975000,7500.0,1.0
7d0c31d5409caab173571cce3dcdf702,szczecin,blockOfFlats,68.61,3.0,4.0,4.0,1997.0,53.4562131879767,14.5832223504052,3.94,7.0,0.139,1.336,0.926,0.93,0.071,0.786,0.304,condominium,brick,premium,no,yes,no,no,yes,599000,8730.505757178254,4.0
6d947e9a6521b8e608d3fcd6ff2f089a,szczecin,blockOfFlats,80.0,3.0,1.0,2.0,2017.0,53.4952724715541,14.5901784789922,8.22,4.0,1.205,1.249,0.355,0.111,0.343,3.706,0.34,condominium,brick,premium,yes,yes,no,yes,no,999999,12499.9875,8.0
8c06e90fcdf94e7b3b402d0aa0413f55,szczecin,apartmentBuilding,69.5,3.0,3.0,7.0,2017.0,53.45786632,14.54201437,4.03,5.0,0.419,0.694,0.516,0.435,0.378,1.884,0.495,condominium,brick,premium,yes,yes,yes,no,no,777000,11179.856115107914,4.0
77b52467ffff9ce4f627ba9c645c186c,szczecin,blockOfFlats,69.0,3.0,4.0,4.0,1986.0,53.4598806,14.5278357,4.61,2.0,0.122,0.678,0.637,0.494,0.65,1.964,0.7,condominium,brick,low,yes,yes,no,no,yes,650000,9420.289855072464,5.0
cf2dbad3ecb7eff9007beab058413142,szczecin,blockOfFlats,33.31,1.0,1.0,4.0,1963.0,53.4361339,14.5412255,1.93,39.0,0.069,0.327,0.28,0.093,0.184,0.037,0.389,cooperative,brick,premium,no,no,no,no,yes,390000,11708.19573701591,2.0
6d6db33c7538f85a9b00f73b94ff2cc9,szczecin,apartmentBuilding,74.02,3.0,3.0,4.0,2012.0,53.4361339,14.5412255,1.93,39.0,0.069,0.327,0.28,0.093,0.184,0.037,0.389,condominium,brick,premium,no,yes,yes,no,yes,799000,10794.379897325049,2.0
91f848d483e170ef181c026b5d5498e9,szczecin,blockOfFlats,54.61,2.0,4.0,4.0,1995.0,53.404167,14.503333,4.38,5.0,0.834,1.803,0.337,1.177,0.067,2.558,0.21,cooperative,brick,low,no,yes,no,no,no,480000,8789.598974546787,4.0
