id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price,price_per_m2,distance_km
2a1a6db97ff122d6bc148abb6f0e498a,szczecin,blockOfFlats,52.0,2.0,3.0,3.0,2008.0,53.4605350947556,14.5454160213269,4.26,2.0,0.753,1.049,0.595,0.674,0.229,2.2,0.307,condominium,brick,premium,yes,yes,no,no,no,3500,67.3076923076923,4.0
996722490efcb4b34d48bb84a9a72838,szczecin,apartmentBuilding,43.4,2.0,3.0,4.0,2009.0,53.4357458,14.560764,1.37,17.0,0.265,0.373,0.385,0.364,0.116,0.714,0.211,condominium,brick,premium,no,yes,no,no,no,1900,43.77880184331797,1.0
50d75c688530b9a61ba505301e0b94a9,szczecin,apartmentBuilding,32.6,2.0,5.0,6.0,2021.0,53.4215822,14.5415725,1.3,16.0,0.081,0.565,0.223,0.482,0.151,0.689,0.192,condominium,brick,premium,no,yes,yes,no,no,2500,76.68711656441718,1.0
9b187f4203adabf466fd08610d8f4e5e,szczecin,apartmentBuilding,72.0,3.0,6.0,6.0,2014.0,53.45001,14.54723,3.1,11.0,0.313,1.065,0.331,0.234,0.496,1.387,0.315,condominium,brick,premium,no,yes,yes,no,yes,2999,41.65277777777778,3.0
ba4d70d65d1024ee13929ca82bfc92f6,szczecin,blockOfFlats,52.0,2.0,1.0,3.0,2006.0,53.4274,14.4881,4.85,6.0,0.607,0.485,0.247,0.399,0.6,3.003,0.458,condominium,concreteSlab,premium,yes,no,no,no,no,2300,44.23076923076923,5.0
195bf5124c9fd720ca3ff7aeff9ca83f,szczecin,blockOfFlats,45.94,2.0,4.0,10.0,1978.0,53.43356737,14.53989132,1.8,61.0,0.223,0.382,0.332,0.211,0.051,0.155,0.125,condominium,concreteSlab,premium,no,yes,yes,no,no,2500,54.4188071397475,2.0
aae4994ab375e107dcc375f3360bd3d9,szczecin,tenement,32.0,1.0,2.0,4.0,1930.0,53.4348359,14.5488644,1.5,51.0,0.101,0.107,0.154,0.159,0.048,0.537,0.271,condominium,brick,premium,no,no,yes,no,no,1500,46.875,2.0
b83458393eb79b3ecdb13de56a6e2676,szczecin,blockOfFlats,76.38,3.0,1.0,1.0,1954.0,53.4354779,14.51203896,3.51,11.0,0.367,0.85,0.408,0.122,0.416,1.272,0.278,condominium,brick,premium,yes,no,no,no,no,3600,47.13275726630008,4.0
ea559b3e54c7a520718a9078cabe3af6,szczecin,apartmentBuilding,35.0,2.0,2.0,4.0,2016.0,53.42968095,14.59291267,2.23,0.0,1.607,2.572,1.595,1.895,1.386,2.071,1.459,condominium,brick,premium,no,yes,no,no,no,2100,60.0,2.0
872ce710071704670eada868273acd7a,szczecin,blockOfFlats,60.0,2.0,2.0,2.0,2011.0,53.4798,14.5409,6.41,2.0,1.505,2.846,1.195,0.772,0.445,3.131,0.257,condominium,brick,premium,yes,yes,no,no,no,2850,47.5,6.0
