id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price,price_per_m2,distance_km
8373aa373dbc3fe7ca3b7434166b8766,szczecin,tenement,73.02,3.0,2.0,3.0,1996.0,53.45222222,14.55333333,3.24,9.0,0.275,0.672,0.367,0.246,0.3,1.857,0.28,condominium,brick,premium,no,no,no,no,no,650000,8901.670775130102,3.0
42758bc1fd0885a6221965f2c96da033,szczecin,tenement,48.84,2.0,2.0,3.0,1950.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,condominium,brick,low,no,yes,no,no,no,389000,7964.782964782964,1.0
a6b22917f9f4477aca6358d4aa5c3cac,szczecin,blockOfFlats,78.0,3.0,2.0,4.0,2000.0,53.3682304547167,14.6475264787771,8.4,7.0,0.587,0.389,0.565,0.763,0.374,1.097,0.296,cooperative,brick,premium,no,yes,no,no,yes,750000,9615.384615384615,8.0
6d8910234b1d447888657b1c7da31cca,szczecin,blockOfFlats,58.0,3.0,3.0,3.0,2006.0,53.4658691268942,14.5395155252812,4.93,8.0,0.048,1.32,0.115,0.176,0.182,2.602,0.375,condominium,brick,premium,no,yes,no,no,no,679000,11706.896551724138,5.0
2ee4c3c202ba72a65581f019a592bc92,szczecin,apartmentBuilding,75.0,3.0,4.0,4.0,1999.0,53.427312,14.549056,0.9,78.0,0.474,0.034,0.138,0.363,0.067,0.436,0.111,cooperative,brick,premium,yes,yes,no,yes,yes,890000,11866.666666666666,1.0
3eaa36a59b9354206703b5f6b2f2ff1d,szczecin,blockOfFlats,42.0,2.0,1.0,3.0,1996.0,53.46805556,14.53833333,5.19,9.0,0.209,1.533,0.201,0.319,0.157,2.722,0.257,condominium,brick,premium,no,yes,no,no,no,584999,13928.547619047618,5.0
7d0c31d5409caab173571cce3dcdf702,szczecin,blockOfFlats,68.61,3.0,4.0,4.0,1997.0,53.4562131879767,14.5832223504052,3.94,7.0,0.139,1.336,0.926,0.93,0.071,0.786,0.304,condominium,brick,premium,no,yes,no,no,yes,590000,8599.32954379828,4.0
1deea3ea4c2760c5f511bb9703312a78,szczecin,apartmentBuilding,48.77,2.0,5.0,7.0,2019.0,53.44746377,14.55778212,2.68,10.0,0.267,0.772,0.677,0.26,0.32,1.642,0.177,condominium,brick,premium,yes,yes,yes,no,yes,699000,14332.58150502358,3.0
b4581dfeed8052716c41d62f39bb9705,szczecin,blockOfFlats,61.31,3.0,3.0,3.0,2020.0,53.46264702,14.54467964,4.5,4.0,0.534,1.177,0.384,0.437,0.226,2.236,0.189,condominium,brick,premium,yes,no,yes,no,no,650000,10601.859403033763,4.0
76affd52069119ac305ee74b21b4aed7,szczecin,blockOfFlats,56.58,2.0,4.0,5.0,2019.0,53.43911265,14.49004444,5.01,7.0,0.65,1.122,0.248,0.316,0.221,2.711,0.258,condominium,brick,premium,yes,yes,yes,no,no,580000,10250.972074938141,5.0
f064b7efdd87696a6d5a874b370b999d,szczecin,blockOfFlats,59.5,3.0,4.0,8.0,1975.0,53.43015063,14.50387573,3.86,9.0,0.24,1.001,0.294,0.387,0.207,1.973,0.323,cooperative,concreteSlab,premium,no,yes,yes,no,yes,599000,10067.226890756303,4.0
9f2537046ffad011b2028fbc3c74c80b,szczecin,blockOfFlats,53.18,3.0,4.0,4.0,1980.0,53.4566092,14.5379001,4.0,9.0,0.12,0.389,0.211,0.399,0.136,1.659,0.253,condominium,concreteSlab,premium,no,yes,no,no,yes,520000,9778.112072207598,4.0
781bd3d4867ede00869369ac467fe2a6,szczecin,blockOfFlats,47.0,3.0,1.0,7.0,1968.0,53.423309,14.558681,0.15,56.0,0.228,0.604,0.327,0.155,0.04,0.7,0.377,condominium,concreteSlab,premium,no,no,yes,no,no,469000,9978.72340425532,0.0
3293baee8b8862143e402eb68ef12b3a,szczecin,blockOfFlats,55.04,3.0,2.0,3.0,2013.0,53.46894164,14.54817485,5.13,7.0,0.649,1.879,0.132,0.338,0.119,2.122,0.413,condominium,brick,premium,yes,yes,no,no,no,649000,11791.42441860465,5.0
546cc97e67420c694843afb6f4d4006d,szczecin,apartmentBuilding,34.61,2.0,1.0,4.0,2016.0,53.44176251,14.54570961,2.28,20.0,0.223,0.459,0.209,0.41,0.291,0.659,0.189,condominium,brick,premium,no,no,yes,no,no,480000,13868.824039295001,2.0
9c0776cdb31f51ac17a88224a903255e,szczecin,apartmentBuilding,59.24,3.0,2.0,6.0,2023.0,53.4353589,14.5706271,1.48,13.0,0.302,1.021,0.286,0.443,0.19,0.894,0.193,condominium,brick,premium,yes,yes,yes,no,no,650000,10972.316002700878,1.0
92ea9f1aebe58cdbcc4c64ec0512dbc0,szczecin,blockOfFlats,58.7,3.0,3.0,4.0,1968.0,53.43640948,14.5567131,1.47,25.0,0.015,0.168,0.127,0.088,0.163,0.851,0.079,condominium,brick,premium,no,yes,no,no,yes,559000,9522.998296422487,1.0
4c03aaac41d557fd17021b609a0bf569,szczecin,blockOfFlats,54.61,2.0,4.0,4.0,1995.0,53.42496569,14.48255705,5.2,3.0,0.535,0.685,0.212,0.717,0.368,3.3,0.059,cooperative,brick,low,no,yes,no,no,no,449000,8221.937374107307,5.0
