id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price,price_per_m2,distance_km
a01d82c9529f98a54d64b9e061c9a73b,szczecin,apartmentBuilding,105.0,4.0,3.0,4.0,2016.0,53.43150295,14.4858204,5.06,1.0,1.08,0.949,0.623,0.791,1.054,3.062,0.335,condominium,brick,premium,no,yes,yes,no,no,1199999,11428.561904761904,5.0
23d558163bb1c7863c73485048e50858,szczecin,blockOfFlats,53.8,2.0,5.0,5.0,1996.0,53.42942948,14.55464244,0.79,60.0,0.147,0.437,0.328,0.198,0.009,0.465,0.073,cooperative,brick,premium,no,no,yes,no,no,420000,7806.691449814127,1.0
1deea3ea4c2760c5f511bb9703312a78,szczecin,apartmentBuilding,48.77,2.0,5.0,7.0,2019.0,53.44746377,14.55778212,2.68,10.0,0.267,0.772,0.677,0.26,0.32,1.642,0.177,condominium,brick,premium,yes,yes,yes,no,yes,639000,13102.316998154602,3.0
11a7da225d044fd653bb1ab3b650a3e8,szczecin,blockOfFlats,72.9,4.0,2.0,4.0,1989.0,53.3655607769264,14.6598993079253,9.19,8.0,0.348,1.25,0.265,0.13,0.23,1.087,0.301,condominium,brick,low,yes,yes,no,no,no,639000,8765.432098765432,9.0
6d8910234b1d447888657b1c7da31cca,szczecin,blockOfFlats,58.0,3.0,3.0,3.0,2006.0,53.4658691268942,14.5395155252812,4.93,8.0,0.048,1.32,0.115,0.176,0.182,2.602,0.375,condominium,brick,premium,no,yes,no,no,no,679000,11706.896551724138,5.0
2ee4c3c202ba72a65581f019a592bc92,szczecin,apartmentBuilding,75.0,3.0,4.0,4.0,1999.0,53.427312,14.549056,0.9,78.0,0.474,0.034,0.138,0.363,0.067,0.436,0.111,cooperative,brick,premium,yes,yes,no,yes,yes,890000,11866.666666666666,1.0
3eaa36a59b9354206703b5f6b2f2ff1d,szczecin,blockOfFlats,42.0,2.0,1.0,3.0,1996.0,53.46805556,14.53833333,5.19,9.0,0.209,1.533,0.201,0.319,0.157,2.722,0.257,condominium,brick,premium,no,yes,no,no,no,570000,13571.42857142857,5.0
7d0c31d5409caab173571cce3dcdf702,szczecin,blockOfFlats,68.61,3.0,4.0,4.0,1997.0,53.4562131879767,14.5832223504052,3.94,7.0,0.139,1.336,0.926,0.93,0.071,0.786,0.304,condominium,brick,premium,no,yes,no,no,yes,599000,8730.505757178254,4.0
6d947e9a6521b8e608d3fcd6ff2f089a,szczecin,blockOfFlats,80.0,3.0,1.0,2.0,2017.0,53.4952724715541,14.5901784789922,8.22,4.0,1.205,1.249,0.355,0.111,0.343,3.706,0.34,condominium,brick,premium,yes,yes,no,yes,no,1200000,15000.0,8.0
39193af380108cf5b1f40a88590cbb4e,szczecin,apartmentBuilding,66.78,4.0,2.0,6.0,2018.0,53.41574355,14.54045445,1.6,5.0,0.288,0.765,0.535,0.248,0.258,0.742,0.178,condominium,brick,premium,yes,yes,yes,no,no,790000,11829.889188379755,2.0
24af7cc54099d7930535543827604a9d,szczecin,blockOfFlats,68.94,3.0,3.0,4.0,1950.0,53.41472457,14.52963352,2.29,8.0,0.371,0.592,0.213,0.222,0.24,0.583,0.721,condominium,brick,low,no,yes,no,no,yes,560000,8123.0055120394545,2.0
7ebe2d0eeb6231486f90c5835c695cd7,szczecin,blockOfFlats,56.0,2.0,1.0,2.0,1930.0,53.4392626,14.5190094,3.29,1.0,0.68,0.916,0.537,0.63,0.697,0.808,0.408,condominium,brick,premium,no,no,no,no,yes,590000,10535.714285714286,3.0
545805d4b9d43e2dd24df325c42e78d1,szczecin,blockOfFlats,55.8,3.0,10.0,12.0,1996.0,53.4321,14.5117,3.4,17.0,0.118,1.189,0.201,0.108,0.23,1.412,0.02,condominium,brick,premium,no,yes,yes,no,yes,403500,7231.1827956989255,3.0
fde81f5f228d08ab227f5653f9806e9b,szczecin,blockOfFlats,51.0,2.0,1.0,2.0,1996.0,53.4378,14.5085,3.83,5.0,0.526,0.521,0.377,0.176,0.697,1.484,0.414,condominium,brick,premium,no,no,no,no,yes,320000,6274.509803921569,4.0
fc9519f7a164bce65db0ac05406a2d51,szczecin,blockOfFlats,63.56,4.0,4.0,4.0,1976.0,53.4007948,14.532096,3.16,1.0,0.315,0.842,0.516,0.5,0.573,2.117,0.506,cooperative,concreteSlab,premium,no,yes,no,no,no,540000,8495.909376966645,3.0
bac1869ad9c2c1ef444b0ba6d225761a,szczecin,tenement,77.71,3.0,3.0,3.0,1925.0,53.4330962,14.5686108,1.19,9.0,0.577,0.918,0.288,0.308,0.135,0.621,0.422,condominium,brick,low,no,no,no,no,yes,599000,7708.1456697979675,1.0
8c995145602be3a994e770d25d7d0fbf,szczecin,blockOfFlats,63.23,3.0,2.0,4.0,1992.0,53.3819008,14.663723,8.23,11.0,0.572,0.683,0.36,0.606,0.087,1.087,0.189,cooperative,concreteSlab,premium,no,yes,no,no,yes,535000,8461.173493594813,8.0
208f9e801a36f87b009de99a6e6f6f1b,szczecin,blockOfFlats,54.0,3.0,3.0,3.0,2016.0,53.3957668,14.49323273,5.44,2.0,1.832,2.784,0.16,1.985,0.175,3.692,0.562,condominium,brick,premium,no,yes,no,no,no,749000,13870.37037037037,5.0
1a16e05abfd4528dbd3950edebc101a4,szczecin,tenement,114.08,5.0,2.0,4.0,1930.0,53.4133,14.5771,1.55,0.0,1.733,2.007,1.717,1.734,0.801,2.057,1.286,condominium,brick,premium,no,no,no,no,yes,799000,7003.8569424964935,2.0
52e1810bf55f662b9d02964f8cf1ad3d,szczecin,tenement,132.21,6.0,3.0,4.0,1930.0,53.4273184,14.543117,1.26,61.0,0.216,0.379,0.26,0.401,0.11,0.233,0.071,condominium,brick,premium,no,no,no,no,yes,795000,6013.160880417518,1.0
